district,district_reported,crop,year,season_group,yield_t_ha,yield_original,yield_unit,source_report,source_page,source_period
Attock,Attock,Rapeseed & Mustard,2018-19,Rabi,0.691908,7.0,maund/acre,2017-18-19.pdf,70,current
Bahawalnagar,Bahawalnagar,Rapeseed & Mustard,2018-19,Rabi,1.838498,18.6,maund/acre,2017-18-19.pdf,70,current
Bahawalpur,Bahawalpur,Rapeseed & Mustard,2018-19,Rabi,2.001591,20.25,maund/acre,2017-18-19.pdf,70,current
Bhakkar,Bhakkar,Rapeseed & Mustard,2018-19,Rabi,1.364047,13.8,maund/acre,2017-18-19.pdf,70,current
Chakwal,Chakwal,Rapeseed & Mustard,2018-19,Rabi,1.065538,10.78,maund/acre,2017-18-19.pdf,70,current
Chiniot,Chiniot,Rapeseed & Mustard,2018-19,Rabi,1.354163,13.7,maund/acre,2017-18-19.pdf,70,current
Dera Ghazi Khan,D.G. Khan,Rapeseed & Mustard,2018-19,Rabi,1.60325,16.22,maund/acre,2017-18-19.pdf,70,current
Faisalabad,Faisalabad,Rapeseed & Mustard,2018-19,Rabi,2.113285,21.38,maund/acre,2017-18-19.pdf,70,current
Gujranwala,Gujranwala,Rapeseed & Mustard,2018-19,Rabi,1.341313,13.57,maund/acre,2017-18-19.pdf,70,current
Gujrat,Gujrat,Rapeseed & Mustard,2018-19,Rabi,0.582191,5.89,maund/acre,2017-18-19.pdf,70,current
Hafizabad,Hafizabad,Rapeseed & Mustard,2018-19,Rabi,0.643474,6.51,maund/acre,2017-18-19.pdf,70,current
Islamabad,Islamabad *,Rapeseed & Mustard,2018-19,Rabi,0.518931,5.25,maund/acre,2017-18-19.pdf,70,current
Jhang,Jhang,Rapeseed & Mustard,2018-19,Rabi,1.9581,19.81,maund/acre,2017-18-19.pdf,70,current
Jhelum,Jhelum,Rapeseed & Mustard,2018-19,Rabi,0.799648,8.09,maund/acre,2017-18-19.pdf,70,current
Kasur,Kasur,Rapeseed & Mustard,2018-19,Rabi,1.039839,10.52,maund/acre,2017-18-19.pdf,70,current
Khanewal,Khanewal,Rapeseed & Mustard,2018-19,Rabi,1.823672,18.45,maund/acre,2017-18-19.pdf,70,current
Khushab,Khushab,Rapeseed & Mustard,2018-19,Rabi,0.529804,5.36,maund/acre,2017-18-19.pdf,70,current
Lahore,Lahore,Rapeseed & Mustard,2018-19,Rabi,1.182174,11.96,maund/acre,2017-18-19.pdf,70,current
Layyah,Layyah,Rapeseed & Mustard,2018-19,Rabi,1.979845,20.03,maund/acre,2017-18-19.pdf,70,current
Lodhran,Lodhran,Rapeseed & Mustard,2018-19,Rabi,1.651683,16.71,maund/acre,2017-18-19.pdf,70,current
Mandi Bahauddin,M.B.Din,Rapeseed & Mustard,2018-19,Rabi,1.19107,12.05,maund/acre,2017-18-19.pdf,70,current
Mianwali,Mianwali,Rapeseed & Mustard,2018-19,Rabi,1.493533,15.11,maund/acre,2017-18-19.pdf,70,current
Multan,Multan,Rapeseed & Mustard,2018-19,Rabi,1.48266,15.0,maund/acre,2017-18-19.pdf,70,current
Muzaffargarh,Muzaffargarh,Rapeseed & Mustard,2018-19,Rabi,1.618076,16.37,maund/acre,2017-18-19.pdf,70,current
Nankana Sahib,Nankana Sahib,Rapeseed & Mustard,2018-19,Rabi,1.353174,13.69,maund/acre,2017-18-19.pdf,70,current
Narowal,Narowal,Rapeseed & Mustard,2018-19,Rabi,1.370966,13.87,maund/acre,2017-18-19.pdf,70,current
Okara,Okara,Rapeseed & Mustard,2018-19,Rabi,1.766342,17.87,maund/acre,2017-18-19.pdf,70,current
Pakpattan,Pakpattan,Rapeseed & Mustard,2018-19,Rabi,1.585458,16.04,maund/acre,2017-18-19.pdf,70,current
Rahim Yar Khan,R.Y. Khan,Rapeseed & Mustard,2018-19,Rabi,1.294856,13.1,maund/acre,2017-18-19.pdf,70,current
Rajanpur,Rajan Pur,Rapeseed & Mustard,2018-19,Rabi,1.81873,18.4,maund/acre,2017-18-19.pdf,70,current
Rawalpindi,Rawalpindi,Rapeseed & Mustard,2018-19,Rabi,0.518931,5.25,maund/acre,2017-18-19.pdf,70,current
Sahiwal,Sahiwal,Rapeseed & Mustard,2018-19,Rabi,1.814776,18.36,maund/acre,2017-18-19.pdf,70,current
Sargodha,Sargodha,Rapeseed & Mustard,2018-19,Rabi,0.746272,7.55,maund/acre,2017-18-19.pdf,70,current
Sheikhupura,Sheikhupura,Rapeseed & Mustard,2018-19,Rabi,1.48266,15.0,maund/acre,2017-18-19.pdf,70,current
Sialkot,Sialkot,Rapeseed & Mustard,2018-19,Rabi,0.823371,8.33,maund/acre,2017-18-19.pdf,70,current
Toba Tek Singh,T.T.Singh,Rapeseed & Mustard,2018-19,Rabi,2.078689,21.03,maund/acre,2017-18-19.pdf,70,current
Vehari,Vehari,Rapeseed & Mustard,2018-19,Rabi,1.865186,18.87,maund/acre,2017-18-19.pdf,70,current
Bahawalnagar,Bahawalnagar,Rice,2018-19,Kharif,2.448366,24.77,maund/acre,2017-18-19.pdf,8,current
Bahawalpur,Bahawalpur,Rice,2018-19,Kharif,2.018394,20.42,maund/acre,2017-18-19.pdf,8,current
Bhakkar,Bhakkar,Rice,2018-19,Kharif,2.144915,21.7,maund/acre,2017-18-19.pdf,8,current
Chiniot,Chiniot,Rice,2018-19,Kharif,2.141949,21.67,maund/acre,2017-18-19.pdf,8,current
Dera Ghazi Khan,D.G. Khan,Rice,2018-19,Kharif,2.930725,29.65,maund/acre,2017-18-19.pdf,8,current
Faisalabad,Faisalabad,Rice,2018-19,Kharif,2.100435,21.25,maund/acre,2017-18-19.pdf,8,current
Gujranwala,Gujranwala,Rice,2018-19,Kharif,2.226955,22.53,maund/acre,2017-18-19.pdf,8,current
Gujrat,Gujrat,Rice,2018-19,Kharif,1.655637,16.75,maund/acre,2017-18-19.pdf,8,current
Hafizabad,Hafizabad,Rice,2018-19,Kharif,2.31295,23.4,maund/acre,2017-18-19.pdf,8,current
Jhang,Jhang,Rice,2018-19,Kharif,2.437493,24.66,maund/acre,2017-18-19.pdf,8,current
Jhelum,Jehlum,Rice,2018-19,Kharif,2.153811,21.79,maund/acre,2017-18-19.pdf,8,current
Kasur,Kasur,Rice,2018-19,Kharif,2.302077,23.29,maund/acre,2017-18-19.pdf,8,current
Khanewal,Khanewal,Rice,2018-19,Kharif,2.230909,22.57,maund/acre,2017-18-19.pdf,8,current
Khushab,Khushab,Rice,2018-19,Kharif,1.555805,15.74,maund/acre,2017-18-19.pdf,8,current
Lahore,Lahore,Rice,2018-19,Kharif,2.150845,21.76,maund/acre,2017-18-19.pdf,8,current
Layyah,Layyah,Rice,2018-19,Kharif,1.994672,20.18,maund/acre,2017-18-19.pdf,8,current
Lodhran,Lodhran,Rice,2018-19,Kharif,2.606516,26.37,maund/acre,2017-18-19.pdf,8,current
Mandi Bahauddin,M.B.Din,Rice,2018-19,Kharif,2.119215,21.44,maund/acre,2017-18-19.pdf,8,current
Mianwali,Mianwali,Rice,2018-19,Kharif,1.857279,18.79,maund/acre,2017-18-19.pdf,8,current
Multan,Multan,Rice,2018-19,Kharif,2.28132,23.08,maund/acre,2017-18-19.pdf,8,current
Muzaffargarh,Muzzafargargh,Rice,2018-19,Kharif,2.194337,22.2,maund/acre,2017-18-19.pdf,8,current
Nankana Sahib,Nankana Sahib,Rice,2018-19,Kharif,2.126134,21.51,maund/acre,2019-20(1).pdf,8,previous_year
Narowal,Narowal,Rice,2018-19,Kharif,1.948215,19.71,maund/acre,2017-18-19.pdf,8,current
Okara,Okara,Rice,2018-19,Kharif,2.569944,26.0,maund/acre,2017-18-19.pdf,8,current
Pakpattan,Pakpattan,Rice,2018-19,Kharif,2.447377,24.76,maund/acre,2017-18-19.pdf,8,current
Rahim Yar Khan,R.Y. Khan,Rice,2018-19,Kharif,2.090551,21.15,maund/acre,2017-18-19.pdf,8,current
Rajanpur,Rajan Pur,Rice,2018-19,Kharif,2.175556,22.01,maund/acre,2017-18-19.pdf,8,current
Sahiwal,Sahiwal,Rice,2018-19,Kharif,2.380164,24.08,maund/acre,2017-18-19.pdf,8,current
Sargodha,Sargodha,Rice,2018-19,Kharif,1.825649,18.47,maund/acre,2017-18-19.pdf,8,current
Sheikhupura,Sheikhupura,Rice,2018-19,Kharif,2.069793,20.94,maund/acre,2017-18-19.pdf,8,current
Sialkot,Sialkot,Rice,2018-19,Kharif,1.982811,20.06,maund/acre,2017-18-19.pdf,8,current
Toba Tek Singh,T.T. Singh,Rice,2018-19,Kharif,3.11754,31.54,maund/acre,2017-18-19.pdf,8,current
Vehari,Vehari,Rice,2018-19,Kharif,2.564013,25.94,maund/acre,2017-18-19.pdf,8,current
Attock,Attock,Sesamum,2018-19,Kharif,0.251064,2.54,maund/acre,2019-20(1).pdf,38,previous_year
Bahawalnagar,Bahawalnagar,Sesamum,2018-19,Kharif,0.547596,5.54,maund/acre,2019-20(1).pdf,38,previous_year
Bahawalpur,Bahawalpur,Sesamum,2018-19,Kharif,0.381538,3.86,maund/acre,2019-20(1).pdf,38,previous_year
Bhakkar,Bhakkar,Sesamum,2018-19,Kharif,0.800636,8.1,maund/acre,2019-20(1).pdf,38,previous_year
Chakwal,Chakwal,Sesamum,2018-19,Kharif,0.15222,1.54,maund/acre,2019-20(1).pdf,38,previous_year
Chiniot,Chiniot,Sesamum,2018-19,Kharif,0.513,5.19,maund/acre,2019-20(1).pdf,38,previous_year
Dera Ghazi Khan,D.G. Khan,Sesamum,2018-19,Kharif,0.177919,1.8,maund/acre,2019-20(1).pdf,38,previous_year
Faisalabad,Faisalabad,Sesamum,2018-19,Kharif,0.509047,5.15,maund/acre,2019-20(1).pdf,38,previous_year
Gujranwala,Gujranwala,Sesamum,2018-19,Kharif,0.171,1.73,maund/acre,2019-20(1).pdf,38,previous_year
Gujrat,Gujrat,Sesamum,2018-19,Kharif,0.197688,2.0,maund/acre,2019-20(1).pdf,38,previous_year
Hafizabad,Hafizabad,Sesamum,2018-19,Kharif,0.214491,2.17,maund/acre,2019-20(1).pdf,38,previous_year
Jhang,Jhang,Sesamum,2018-19,Kharif,0.429971,4.35,maund/acre,2019-20(1).pdf,38,previous_year
Jhelum,Jhelum,Sesamum,2018-19,Kharif,0.232283,2.35,maund/acre,2019-20(1).pdf,38,previous_year
Kasur,Kasur,Sesamum,2018-19,Kharif,0.86192,8.72,maund/acre,2019-20(1).pdf,38,previous_year
Khanewal,Khanewal,Sesamum,2018-19,Kharif,0.476428,4.82,maund/acre,2019-20(1).pdf,38,previous_year
Khushab,Khushab,Sesamum,2018-19,Kharif,0.479393,4.85,maund/acre,2019-20(1).pdf,38,previous_year
Lahore,Lahore,Sesamum,2018-19,Kharif,0.86192,8.72,maund/acre,2019-20(1).pdf,38,previous_year
Layyah,Layyah,Sesamum,2018-19,Kharif,0.441833,4.47,maund/acre,2019-20(1).pdf,38,previous_year
Lodhran,Lodhran,Sesamum,2018-19,Kharif,0.714642,7.23,maund/acre,2019-20(1).pdf,38,previous_year
Mandi Bahauddin,M.B. Din,Sesamum,2018-19,Kharif,0.393399,3.98,maund/acre,2019-20(1).pdf,38,previous_year
Mianwali,Mianwali,Sesamum,2018-19,Kharif,0.448752,4.54,maund/acre,2019-20(1).pdf,38,previous_year
Multan,Multan,Sesamum,2018-19,Kharif,0.612833,6.2,maund/acre,2019-20(1).pdf,38,previous_year
Muzaffargarh,Muzaffargarh,Sesamum,2018-19,Kharif,0.419099,4.24,maund/acre,2019-20(1).pdf,38,previous_year
Nankana Sahib,Nankana Sahib,Sesamum,2018-19,Kharif,0.348919,3.53,maund/acre,2019-20(1).pdf,38,previous_year
Narowal,Narowal,Sesamum,2018-19,Kharif,0.140358,1.42,maund/acre,2019-20(1).pdf,38,previous_year
Okara,Okara,Sesamum,2018-19,Kharif,0.643474,6.51,maund/acre,2019-20(1).pdf,38,previous_year
Pakpattan,Pakpattan,Sesamum,2018-19,Kharif,0.764064,7.73,maund/acre,2019-20(1).pdf,38,previous_year
Rahim Yar Khan,Rahim Yar Khan,Sesamum,2018-19,Kharif,0.54463,5.51,maund/acre,2019-20(1).pdf,38,previous_year
Rajanpur,Rajan Pur,Sesamum,2018-19,Kharif,0.195711,1.98,maund/acre,2019-20(1).pdf,38,previous_year
Rawalpindi,Rawalpindi,Sesamum,2018-19,Kharif,0.382526,3.87,maund/acre,2019-20(1).pdf,38,previous_year
Sahiwal,Sahiwal,Sesamum,2018-19,Kharif,0.876746,8.87,maund/acre,2019-20(1).pdf,38,previous_year
Sargodha,Sargodha,Sesamum,2018-19,Kharif,0.428983,4.34,maund/acre,2019-20(1).pdf,38,previous_year
Sheikhupura,Sheikhupura,Sesamum,2018-19,Kharif,0.391422,3.96,maund/acre,2019-20(1).pdf,38,previous_year
Sialkot,Sialkot,Sesamum,2018-19,Kharif,0.308393,3.12,maund/acre,2019-20(1).pdf,38,previous_year
Toba Tek Singh,T.T. Singh,Sesamum,2018-19,Kharif,0.742318,7.51,maund/acre,2019-20(1).pdf,38,previous_year
Vehari,Vehari,Sesamum,2018-19,Kharif,0.426018,4.31,maund/acre,2019-20(1).pdf,38,previous_year
Bahawalnagar,Bahawalnagar,Sugarcane,2018-19,Kharif,65.830104,666.0,maund/acre,2017-18-19.pdf,18,current
Bahawalpur,Bahawalpur,Sugarcane,2018-19,Kharif,66.324324,671.0,maund/acre,2017-18-19.pdf,18,current
Bhakkar,Bhakkar,Sugarcane,2018-19,Kharif,58.713336,594.0,maund/acre,2017-18-19.pdf,18,current
Chiniot,Chiniot,Sugarcane,2018-19,Kharif,67.411608,682.0,maund/acre,2017-18-19.pdf,18,current
Dera Ghazi Khan,D.G.Khan,Sugarcane,2018-19,Kharif,87.081564,881.0,maund/acre,2017-18-19.pdf,18,current
Faisalabad,Faisalabad,Sugarcane,2018-19,Kharif,68.103516,689.0,maund/acre,2017-18-19.pdf,18,current
Gujranwala,Gujranwala,Sugarcane,2018-19,Kharif,48.730092,493.0,maund/acre,2017-18-19.pdf,18,current
Gujrat,Gujrat,Sugarcane,2018-19,Kharif,47.247432,478.0,maund/acre,2017-18-19.pdf,18,current
Hafizabad,Hafizabad,Sugarcane,2018-19,Kharif,67.510452,683.0,maund/acre,2017-18-19.pdf,18,current
Jhang,Jhang,Sugarcane,2018-19,Kharif,64.841664,656.0,maund/acre,2017-18-19.pdf,18,current
Jhelum,Jhelum,Sugarcane,2018-19,Kharif,39.04338,395.0,maund/acre,2017-18-19.pdf,18,current
Kasur,Kasur,Sugarcane,2018-19,Kharif,60.29484,610.0,maund/acre,2017-18-19.pdf,18,current
Khanewal,Khanewal,Sugarcane,2018-19,Kharif,61.7775,625.0,maund/acre,2017-18-19.pdf,18,current
Khushab,Khushab,Sugarcane,2018-19,Kharif,45.46824,460.0,maund/acre,2017-18-19.pdf,18,current
Lahore,Lahore,Sugarcane,2018-19,Kharif,53.37576,540.0,maund/acre,2017-18-19.pdf,18,current
Layyah,Layyah,Sugarcane,2018-19,Kharif,72.749184,736.0,maund/acre,2017-18-19.pdf,18,current
Lodhran,Lodhran,Sugarcane,2018-19,Kharif,69.487332,703.0,maund/acre,2017-18-19.pdf,18,current
Mandi Bahauddin,M.B.Din,Sugarcane,2018-19,Kharif,58.416804,591.0,maund/acre,2017-18-19.pdf,18,current
Mianwali,Mianwali,Sugarcane,2018-19,Kharif,56.439924,571.0,maund/acre,2017-18-19.pdf,18,current
Multan,Multan,Sugarcane,2018-19,Kharif,59.701776,604.0,maund/acre,2017-18-19.pdf,18,current
Muzaffargarh,Muzaffargarh,Sugarcane,2018-19,Kharif,76.900632,778.0,maund/acre,2017-18-19.pdf,18,current
Nankana Sahib,Nankana sahib,Sugarcane,2018-19,Kharif,59.405244,601.0,maund/acre,2017-18-19.pdf,18,current
Narowal,Narowal,Sugarcane,2018-19,Kharif,40.52604,410.0,maund/acre,2017-18-19.pdf,18,current
Okara,Okara,Sugarcane,2018-19,Kharif,60.591372,613.0,maund/acre,2017-18-19.pdf,18,current
Pakpattan,Pakpattan,Sugarcane,2018-19,Kharif,61.28328,620.0,maund/acre,2017-18-19.pdf,18,current
Rajanpur,Rajanpur,Sugarcane,2018-19,Kharif,71.068836,719.0,maund/acre,2017-18-19.pdf,18,current
Sahiwal,Sahiwal,Sugarcane,2018-19,Kharif,63.457848,642.0,maund/acre,2017-18-19.pdf,18,current
Sargodha,Sargodha,Sugarcane,2018-19,Kharif,59.80062,605.0,maund/acre,2017-18-19.pdf,18,current
Sheikhupura,Sheikhupura,Sugarcane,2018-19,Kharif,74.62722,755.0,maund/acre,2017-18-19.pdf,18,current
Sialkot,Sialkot,Sugarcane,2018-19,Kharif,44.380956,449.0,maund/acre,2017-18-19.pdf,18,current
Toba Tek Singh,T.T.Singh,Sugarcane,2018-19,Kharif,65.533572,663.0,maund/acre,2017-18-19.pdf,18,current
Vehari,Vehari,Sugarcane,2018-19,Kharif,65.335884,661.0,maund/acre,2017-18-19.pdf,18,current
Attock,Attock,Wheat,2018-19,Rabi,2.031244,20.55,maund/acre,2017-18-19.pdf,3,current
Bahawalnagar,Bahawalnagar,Wheat,2018-19,Rabi,3.47832,35.19,maund/acre,2017-18-19.pdf,3,current
Bahawalpur,Bahawalpur,Wheat,2018-19,Rabi,3.232199,32.7,maund/acre,2017-18-19.pdf,3,current
Bhakkar,Bhakkar,Wheat,2018-19,Rabi,2.359406,23.87,maund/acre,2017-18-19.pdf,3,current
Chakwal,Chakwal,Wheat,2018-19,Rabi,1.43225,14.49,maund/acre,2017-18-19.pdf,3,current
Chiniot,Chiniot,Wheat,2018-19,Rabi,3.103702,31.4,maund/acre,2017-18-19.pdf,3,current
Dera Ghazi Khan,D.G. Khan,Wheat,2018-19,Rabi,3.069106,31.05,maund/acre,2017-18-19.pdf,3,current
Faisalabad,Faisalabad,Wheat,2018-19,Rabi,3.354765,33.94,maund/acre,2017-18-19.pdf,3,current
Gujranwala,Gujranwala,Wheat,2018-19,Rabi,2.836823,28.7,maund/acre,2017-18-19.pdf,3,current
Gujrat,Gujrat,Wheat,2018-19,Rabi,1.701105,17.21,maund/acre,2017-18-19.pdf,3,current
Hafizabad,Hafizabad,Wheat,2018-19,Rabi,3.204522,32.42,maund/acre,2017-18-19.pdf,3,current
Islamabad,Islamabad,Wheat,2018-19,Rabi,1.401608,14.18,maund/acre,2017-18-19.pdf,3,current
Jhang,Jhang,Wheat,2018-19,Rabi,3.360696,34.0,maund/acre,2017-18-19.pdf,3,current
Jhelum,Jhelum,Wheat,2018-19,Rabi,1.707036,17.27,maund/acre,2017-18-19.pdf,3,current
Kasur,Kasur,Wheat,2018-19,Rabi,3.093817,31.3,maund/acre,2017-18-19.pdf,3,current
Khanewal,Khanewal,Wheat,2018-19,Rabi,3.346858,33.86,maund/acre,2017-18-19.pdf,3,current
Khushab,Khushab,Wheat,2018-19,Rabi,1.894839,19.17,maund/acre,2017-18-19.pdf,3,current
Lahore,Lahore,Wheat,2018-19,Rabi,3.375523,34.15,maund/acre,2017-18-19.pdf,3,current
Layyah,Layyah,Wheat,2018-19,Rabi,2.811123,28.44,maund/acre,2017-18-19.pdf,3,current
Lodhran,Lodhran,Wheat,2018-19,Rabi,3.63054,36.73,maund/acre,2017-18-19.pdf,3,current
Mandi Bahauddin,M.B. Din,Wheat,2018-19,Rabi,2.784435,28.17,maund/acre,2017-18-19.pdf,3,current
Mianwali,Mianwali,Wheat,2018-19,Rabi,2.368302,23.96,maund/acre,2017-18-19.pdf,3,current
Multan,Multan,Wheat,2018-19,Rabi,3.342904,33.82,maund/acre,2017-18-19.pdf,3,current
Muzaffargarh,Muzaffargarh,Wheat,2018-19,Rabi,3.292494,33.31,maund/acre,2017-18-19.pdf,3,current
Nankana Sahib,Nankana Sahib,Wheat,2018-19,Rabi,3.416049,34.56,maund/acre,2017-18-19.pdf,3,current
Narowal,Narowal,Wheat,2018-19,Rabi,2.336672,23.64,maund/acre,2017-18-19.pdf,3,current
Okara,Okara,Wheat,2018-19,Rabi,3.530708,35.72,maund/acre,2017-18-19.pdf,3,current
Pakpattan,Pakpattan,Wheat,2018-19,Rabi,3.761014,38.05,maund/acre,2017-18-19.pdf,3,current
Rahim Yar Khan,Rahim Yar Khan,Wheat,2018-19,Rabi,3.411106,34.51,maund/acre,2017-18-19.pdf,3,current
Rajanpur,Rajan Pur,Wheat,2018-19,Rabi,3.251968,32.9,maund/acre,2017-18-19.pdf,3,current
Rawalpindi,Rawalpindi,Wheat,2018-19,Rabi,1.670464,16.9,maund/acre,2017-18-19.pdf,3,current
Sahiwal,Sahiwal,Wheat,2018-19,Rabi,3.496112,35.37,maund/acre,2017-18-19.pdf,3,current
Sargodha,Sargodha,Wheat,2018-19,Rabi,2.788389,28.21,maund/acre,2017-18-19.pdf,3,current
Sheikhupura,Sheikhupura,Wheat,2018-19,Rabi,3.235164,32.73,maund/acre,2017-18-19.pdf,3,current
Sialkot,Sialkot,Wheat,2018-19,Rabi,2.726118,27.58,maund/acre,2017-18-19.pdf,3,current
Toba Tek Singh,T.T. Singh,Wheat,2018-19,Rabi,3.607806,36.5,maund/acre,2017-18-19.pdf,3,current
Vehari,Vehari,Wheat,2018-19,Rabi,3.278655,33.17,maund/acre,2017-18-19.pdf,3,current
Attock,Attock,Bajra,2019-20,Kharif,0.422064,4.27,maund/acre,2020-21(1).pdf,128,previous_year
Bahawalnagar,Bahawalnagar,Bajra,2019-20,Kharif,1.196012,12.1,maund/acre,2020-21(1).pdf,128,previous_year
Bahawalpur,Bahawalpur,Bajra,2019-20,Kharif,1.284972,13.0,maund/acre,2020-21(1).pdf,128,previous_year
Bhakkar,Bhakkar,Bajra,2019-20,Kharif,1.735701,17.56,maund/acre,2020-21(1).pdf,128,previous_year
Chakwal,Chakwal,Bajra,2019-20,Kharif,0.369677,3.74,maund/acre,2020-21(1).pdf,128,previous_year
Chiniot,Chiniot,Bajra,2019-20,Kharif,1.150544,11.64,maund/acre,2020-21(1).pdf,128,previous_year
Dera Ghazi Khan,D.G. Khan,Bajra,2019-20,Kharif,0.721561,7.3,maund/acre,2020-21(1).pdf,128,previous_year
Faisalabad,Faisalabad,Bajra,2019-20,Kharif,1.111995,11.25,maund/acre,2020-21(1).pdf,128,previous_year
Gujranwala,Gujranwala,Bajra,2019-20,Kharif,0.573295,5.8,maund/acre,2020-21(1).pdf,128,previous_year
Gujrat,Gujrat,Bajra,2019-20,Kharif,0.414156,4.19,maund/acre,2020-21(1).pdf,128,previous_year
Hafizabad,Hafizabad,Bajra,2019-20,Kharif,0.717607,7.26,maund/acre,2020-21(1).pdf,128,previous_year
Islamabad,Islamabad,Bajra,2019-20,Kharif,0.308393,3.12,maund/acre,2020-21(1).pdf,128,previous_year
Jhang,Jhang,Bajra,2019-20,Kharif,0.923203,9.34,maund/acre,2020-21(1).pdf,128,previous_year
Jhelum,Jhelum,Bajra,2019-20,Kharif,0.402295,4.07,maund/acre,2020-21(1).pdf,128,previous_year
Kasur,Kasur,Bajra,2019-20,Kharif,1.037862,10.5,maund/acre,2020-21(1).pdf,128,previous_year
Khanewal,Khanewal,Bajra,2019-20,Kharif,1.186128,12.0,maund/acre,2020-21(1).pdf,128,previous_year
Khushab,Khushab,Bajra,2019-20,Kharif,0.842151,8.52,maund/acre,2020-21(1).pdf,128,previous_year
Lahore,Lahore,Bajra,2019-20,Kharif,1.334394,13.5,maund/acre,2020-21(1).pdf,128,previous_year
Layyah,Layyah,Bajra,2019-20,Kharif,0.840174,8.5,maund/acre,2020-21(1).pdf,128,previous_year
Lodhran,Lodhran,Bajra,2019-20,Kharif,1.202931,12.17,maund/acre,2020-21(1).pdf,128,previous_year
Mandi Bahauddin,M.B. Din,Bajra,2019-20,Kharif,0.834243,8.44,maund/acre,2020-21(1).pdf,128,previous_year
Mianwali,Mianwali,Bajra,2019-20,Kharif,0.888608,8.99,maund/acre,2020-21(1).pdf,128,previous_year
Multan,Multan,Bajra,2019-20,Kharif,0.553526,5.6,maund/acre,2020-21(1).pdf,128,previous_year
Muzaffargarh,Muzaffargarh,Bajra,2019-20,Kharif,0.86785,8.78,maund/acre,2020-21(1).pdf,128,previous_year
Nankana Sahib,Nankana Sahib,Bajra,2019-20,Kharif,0.859943,8.7,maund/acre,2020-21(1).pdf,128,previous_year
Narowal,Narowal,Bajra,2019-20,Kharif,0.892561,9.03,maund/acre,2020-21(1).pdf,128,previous_year
Okara,Okara,Bajra,2019-20,Kharif,1.990718,20.14,maund/acre,2020-21(1).pdf,128,previous_year
Pakpattan,Pakpattan,Bajra,2019-20,Kharif,2.031244,20.55,maund/acre,2020-21(1).pdf,128,previous_year
Rahim Yar Khan,Rahim Yar Khan,Bajra,2019-20,Kharif,1.027978,10.4,maund/acre,2020-21(1).pdf,128,previous_year
Rajanpur,Rajan Pur,Bajra,2019-20,Kharif,1.198978,12.13,maund/acre,2020-21(1).pdf,128,previous_year
Rawalpindi,Rawalpindi,Bajra,2019-20,Kharif,0.366711,3.71,maund/acre,2020-21(1).pdf,128,previous_year
Sahiwal,Sahiwal,Bajra,2019-20,Kharif,2.07177,20.96,maund/acre,2020-21(1).pdf,128,previous_year
Sargodha,Sargodha,Bajra,2019-20,Kharif,0.588122,5.95,maund/acre,2020-21(1).pdf,128,previous_year
Sheikhupura,Sheikhupura,Bajra,2019-20,Kharif,0.840174,8.5,maund/acre,2020-21(1).pdf,128,previous_year
Sialkot,Sialkot,Bajra,2019-20,Kharif,0.578237,5.85,maund/acre,2020-21(1).pdf,128,previous_year
Toba Tek Singh,T.T. Singh,Bajra,2019-20,Kharif,2.145903,21.71,maund/acre,2020-21(1).pdf,128,previous_year
Vehari,Vehari,Bajra,2019-20,Kharif,1.037862,10.5,maund/acre,2020-21(1).pdf,128,previous_year
Attock,Attock,Barley,2019-20,Rabi,0.896515,9.07,maund/acre,2019-20(1).pdf,84,current
Bahawalnagar,Bahawalnagar,Barley,2019-20,Rabi,0.834243,8.44,maund/acre,2019-20(1).pdf,84,current
Bahawalpur,Bahawalpur,Barley,2019-20,Rabi,1.337359,13.53,maund/acre,2019-20(1).pdf,84,current
Bhakkar,Bhakkar,Barley,2019-20,Rabi,1.112983,11.26,maund/acre,2019-20(1).pdf,84,current
Chakwal,Chakwal --,Barley,2019-20,Rabi,0.897504,9.08,maund/acre,2019-20(1).pdf,84,current
Faisalabad,Faisalabad,Barley,2019-20,Rabi,1.354163,13.7,maund/acre,2019-20(1).pdf,84,current
Gujrat,Gujrat,Barley,2019-20,Rabi,1.307706,13.23,maund/acre,2019-20(1).pdf,84,current
Jhang,Jhang,Barley,2019-20,Rabi,1.076411,10.89,maund/acre,2019-20(1).pdf,84,current
Khushab,Khushab,Barley,2019-20,Rabi,1.043793,10.56,maund/acre,2019-20(1).pdf,84,current
Layyah,Layyah,Barley,2019-20,Rabi,0.939018,9.5,maund/acre,2019-20(1).pdf,84,current
Mandi Bahauddin,M.B. Din,Barley,2019-20,Rabi,1.413469,14.3,maund/acre,2019-20(1).pdf,84,current
Mianwali,Mianwali,Barley,2019-20,Rabi,0.981521,9.93,maund/acre,2019-20(1).pdf,84,current
Muzaffargarh,Muzaffargarh,Barley,2019-20,Rabi,1.189093,12.03,maund/acre,2019-20(1).pdf,84,current
Narowal,Narowal,Barley,2019-20,Rabi,0.889596,9.0,maund/acre,2019-20(1).pdf,84,current
Pakpattan,Pakpattan,Barley,2019-20,Rabi,1.151533,11.65,maund/acre,2019-20(1).pdf,84,current
Sheikhupura,Sheikhupura,Barley,2019-20,Rabi,0.905411,9.16,maund/acre,2019-20(1).pdf,84,current
Toba Tek Singh,T.T. Singh,Barley,2019-20,Rabi,1.170313,11.84,maund/acre,2019-20(1).pdf,84,current
Vehari,Vehari,Barley,2019-20,Rabi,1.186128,12.0,maund/acre,2019-20(1).pdf,84,current
